Transaktions-ID,Datum,Kunden-ID,Artikelposition,Artikelname,Wochentag
72953811-df1d-4af4-8e71-3490fe4b8bfd,"Friday, October 30, 2020",350,1,Wurst,Freitag
0a586153-d6e2-4163-86bb-661547df059b,"Friday, January 24, 2020",494,1,Wurst,Freitag
37693dfe-7c0e-4081-b368-2c9c180cb8cf,"Friday, January 22, 2021",70,1,Wurst,Freitag
db7b845f-ca8c-4fb7-8652-5198247305f3,"Friday, December 4, 2020",363,1,Wurst,Freitag
0efdd3c4-2a0e-41d8-af32-6b8ff09288b9,"Friday, February 7, 2020",363,1,Wurst,Freitag
2e64d2f6-519a-40c8-970d-59ea335bbbe9,"Friday, January 8, 2021",221,1,Wurst,Freitag
2bb67e81-a57c-4885-baa4-7ca2950643a9,"Friday, April 24, 2020",98,1,Wurst,Freitag
85846e88-2bbe-4e58-97b4-b8022298e777,"Friday, August 28, 2020",39,1,Wurst,Freitag
3a549a48-851e-4ff8-a5ab-c0b7d593c466,"Friday, February 5, 2021",289,1,Wurst,Freitag
a832a11e-9c17-4c52-b44e-47da49551c87,"Friday, December 18, 2020",319,1,Wurst,Freitag
634d533f-7c8f-413f-94b3-4a1520e3f21a,"Friday, January 24, 2020",21,1,Wurst,Freitag
555b8742-88da-4634-a731-7302a796a75a,"Friday, January 10, 2020",307,1,Wurst,Freitag
63615a5e-a381-4bf6-8c89-54c2dc39f808,"Friday, November 6, 2020",57,1,Wurst,Freitag
0530fbe8-1252-4b09-a872-d7c4a8fb694e,"Friday, October 23, 2020",25,1,Wurst,Freitag
ec68985e-81ce-4563-abe0-b7ca50994d46,"Friday, February 14, 2020",130,1,Wurst,Freitag
5c9be17d-ec8a-4ee0-9c00-6e42412d88a9,"Friday, June 5, 2020",113,1,Wurst,Freitag
46493a20-b6ae-4f7d-aa48-a90057572490,"Friday, August 21, 2020",202,1,Wurst,Freitag
a703f0b8-818a-4b6a-a64d-c2808c3b2889,"Friday, June 12, 2020",438,1,Wurst,Freitag
85032ae6-4e76-46a1-8ae1-6915b1ea689f,"Friday, May 8, 2020",348,1,Wurst,Freitag
c3c5b8d2-5b85-498b-8aa9-6456babfb452,"Friday, October 2, 2020",233,1,Wurst,Freitag
a5cc91de-92a9-43b4-a335-826054f6f5a8,"Friday, December 25, 2020",437,1,Wurst,Freitag
85c93eca-1fa3-4610-bd41-76948699a652,"Friday, March 13, 2020",39,1,Wurst,Freitag
8067e671-da93-4cbb-9af4-39932c66751d,"Friday, October 16, 2020",425,1,Wurst,Freitag
64b12c75-e9ed-4f5e-adbf-e75e3f1edd58,"Friday, April 3, 2020",103,1,Wurst,Freitag
a8cb1291-8273-4982-bcd2-fa5348098815,"Friday, January 24, 2020",41,1,Wurst,Freitag
803f917b-46da-400f-ba81-cef9b20d8d96,"Friday, May 8, 2020",310,1,Wurst,Freitag
9fe6e1ea-3590-4219-8fa7-01268c5a12d3,"Friday, May 29, 2020",432,1,Wurst,Freitag
69eac45e-f020-41d4-b501-19d706304477,"Friday, August 7, 2020",473,1,Wurst,Freitag
